 1      SOYB   1    25.0    10.0      .0   120.0
 2      CORN   1    25.0     8.0      .0   110.0
 3      GRSG   1    27.5    10.0      .0   110.0
 4      COTS   1    27.5    12.5      .0   180.0
 5      COTP   1    27.5    12.5      .0   180.0
 6      PNUT   1    25.0     9.0      .0   110.0
 7      SUNF   1    25.0     6.0      .0   110.0
 8      CSUN   1    25.0     6.0      .0   110.0
 9      FALW   1   125.0   100.0      .0      .0
10      WWHT   2    15.0      .0      .0   115.0
11      SWHT   2    20.0     5.0      .0   115.0
12      CSWH   2    15.0      .0      .0   115.0
13      DWHT   2    15.0      .0      .0   115.0
14      BARL   2    15.0      .0      .0   115.0
15      CBAR   2    15.0      .0      .0   115.0
16      OATS   2    15.0      .0      .0   105.0
17      COAT   2    15.0      .0      .0   105.0
18      RICE   1    25.0    10.0      .0   180.0
19      RYE    2    12.5      .0      .0    90.0
20      WPEA   2    14.0     1.0      .0    80.0
21      LENW   1    14.0     1.0      .0    85.0
22      LENT   2    14.0     1.0      .0    85.0
23      CANA   1    21.0     5.0      .0   100.0
24      CANP   1    21.0     5.0      .0   100.0
25      FLAX   2    22.5     5.0      .0   110.0
26      FPEA   2    15.0     1.0      .0   100.0
27      MUNG   1    25.0    10.0      .0   110.0
28      SESB   1    25.0    10.0      .0    90.0
29      CSIL   1    25.0     8.0      .0   110.0
30      SGHY   1    27.5    10.0      .0    90.0
31      ALFA   1    25.0     1.0      .0    90.0
32      CLVA   2    25.0     1.0      .0   100.0
33      CLVR   2    25.0     1.0      .0   100.0
34      CLVS   2    25.0     1.0      .0   100.0
35      TIMO   1    25.0     8.0      .0   100.0
36      RNGE   1    25.0     8.0      .0   100.0
37      SPAS   1    25.0     8.0      .0   100.0
38      WPAS   1    18.0     3.0      .0   100.0
39      RYEA   1    15.0      .0      .0    90.0
40      RYER   1    15.0      .0      .0   100.0
41      RYEG   2    18.0      .0      .0   100.0
42      WWGR   1    25.0     8.0      .0   100.0
43      NWGR   1    25.0     8.0      .0   100.0
44      SWGR   1    25.0     8.0      .0   100.0
45      CWGR   1    25.0     8.0      .0   100.0
46      BROM   1    25.0     6.0      .0   100.0
47      BROS   1    25.0     8.0      .0   100.0
48      CWPS   1    15.0      .0      .0   100.0
49      BERM   1    27.5    12.0      .0   100.0
50      POTA   2    17.0     7.0      .0   115.0
51      ASPR   1    35.0    10.0      .0   800.0   
52      BROC   1    24.0     4.0      .0   100.0
53      CABG   1    24.0     4.0      .0    90.0
54      CAUF   1    24.0     7.0      .0   100.0
55      CELR   1    24.0     7.0      .0   110.0
56      LETT   2    18.2      .0      .0    80.0
57      OLET   2    18.2      .0      .0    45.0
58      SPIN   1    24.0     4.0      .0    45.0
59      CRRT   1    24.0     7.0      .0   135.0
60      ONIO   1    29.0     7.0      .0   150.0
61      SGBT   1    22.0     4.0      .0    60.0
62      GRBN   1    27.0    10.0      .0    55.0
63      LIMA   1    27.0    10.0      .0    75.0
64      PEAS   1    27.0    10.0      .0    70.0
65      CUCM   2    32.0    16.0      .0    60.0
66      EGGP   2    35.0    18.0      .0    95.0
67      CANT   2    32.0    16.0      .0    85.0
68      HMEL   2    32.0    16.0      .0    85.0
69      WMEL   2    32.0    16.0      .0    90.0
70      PEPR   1    27.0    12.0      .0   140.0
71      STRW   1    32.0    10.0      .0   400.0   
72      TOMA   1    27.0    10.0      .0   100.0
73      SPOT   1    29.0    14.0      .0   125.0
74      SCRN   1    35.0     8.0      .0   110.0
75      TOBC   1    25.0     8.0      .0   150.0   
76      SUGC   1    25.0    11.0      .0   450.0
77      FESC   1    15.0      .0      .0   100.0
78      PMIL   1    30.0    10.0      .0   110.0
79      PINE   1    20.0     2.0      .0  1000.0
